sessionId,currGameId,condition,outcome,env_state,playerId,pos,type,econ_state,econ_history_perc,env_history_perc,num_played_rounds
"052106CZK['CC', 'CC', 'CI']",39,"['CC', 'CC', 'RANDOM']",LOSS,0,2,2,AI-RANDOM,0.19,13,12,5
"052106CZK['CC', 'CC', 'CI']",40,"['CC', 'CI', 'CI']",LOSS,0,2,1,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.7500001,36,4,8
"052106CZK['CC', 'CC', 'CI']",40,"['CC', 'CI', 'CI']",LOSS,0,1,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.88,37,3,8
"052106CZK['CC', 'CC', 'CI']",40,"['CC', 'CI', 'CI']",LOSS,0,0,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,7,33,8
"052106CZK['CC', 'CC', 'CI']",41,"['CC', 'CI', 'DC']",VICTORY,0.7,0,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,17,488,101
"052106CZK['CC', 'CC', 'CI']",41,"['CC', 'CI', 'DC']",VICTORY,0.7,2,2,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0,30,475,101
"052106CZK['CC', 'CC', 'CI']",41,"['CC', 'CI', 'DC']",VICTORY,0.7,1,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.92,477,28,101
"052106CZK['CC', 'CC', 'CI']",42,"['CC', 'CI', 'DI']",VICTORY,0.78,0,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.96,483,22,101
"052106CZK['CC', 'CC', 'CI']",42,"['CC', 'CI', 'DI']",VICTORY,0.78,1,1,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,27,478,101
"052106CZK['CC', 'CC', 'CI']",42,"['CC', 'CI', 'DI']",VICTORY,0.78,2,2,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,27,478,101
"052106CZK['CC', 'CC', 'CI']",43,"['CC', 'CI', 'RANDOM']",LOSS,0,0,2,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,10,65,15
"052106CZK['CC', 'CC', 'CI']",43,"['CC', 'CI', 'RANDOM']",LOSS,0,1,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.93,72,3,15
"052106CZK['CC', 'CC', 'CI']",43,"['CC', 'CI', 'RANDOM']",LOSS,0,2,1,AI-RANDOM,0.39,41,34,15
"052106CZK['CC', 'CC', 'CI']",44,"['CC', 'DC', 'DC']",VICTORY,0.82,1,1,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0,24,481,101
